วันเวลา,รูปภาพ,สถานที่
2025-10-14 14:02:47,without_mask_2025-10-14_14-02-47.jpg,กระถิน
2025-10-14 14:02:49,without_mask_2025-10-14_14-02-49.jpg,กระถิน
2025-10-14 14:02:51,without_mask_2025-10-14_14-02-51.jpg,กระถิน
2025-10-14 14:02:54,without_mask_2025-10-14_14-02-54.jpg,กระถิน
2025-10-14 14:02:56,without_mask_2025-10-14_14-02-56.jpg,กระถิน
2025-10-14 14:02:58,without_mask_2025-10-14_14-02-58.jpg,กระถิน
2025-10-14 14:03:00,without_mask_2025-10-14_14-03-00.jpg,กระถิน
2025-10-14 14:03:02,without_mask_2025-10-14_14-03-02.jpg,กระถิน
2025-10-14 14:03:04,without_mask_2025-10-14_14-03-04.jpg,กระถิน
2025-10-14 14:03:07,without_mask_2025-10-14_14-03-07.jpg,กระถิน
2025-10-14 14:03:16,without_mask_2025-10-14_14-03-16.jpg,กระถิน
2025-10-14 14:03:19,without_mask_2025-10-14_14-03-19.jpg,กระถิน
2025-10-14 14:09:21,without_mask_2025-10-14_14-09-21.jpg,กระโจง
2025-10-14 14:09:23,without_mask_2025-10-14_14-09-23.jpg,กระโจง
2025-10-14 14:09:25,without_mask_2025-10-14_14-09-25.jpg,กระโจง
2025-10-14 14:09:27,without_mask_2025-10-14_14-09-27.jpg,กระโจง
2025-10-14 14:09:29,without_mask_2025-10-14_14-09-29.jpg,กระโจง
2025-10-14 14:09:31,without_mask_2025-10-14_14-09-31.jpg,กระโจง
2025-10-14 14:09:33,without_mask_2025-10-14_14-09-33.jpg,กระโจง
2025-10-14 14:09:35,without_mask_2025-10-14_14-09-35.jpg,กระโจง
2025-10-14 14:09:37,without_mask_2025-10-14_14-09-37.jpg,กระโจง
2025-10-14 14:09:40,without_mask_2025-10-14_14-09-40.jpg,กระโจง
2025-10-14 14:09:42,without_mask_2025-10-14_14-09-42.jpg,กระโจง
2025-10-14 14:09:44,without_mask_2025-10-14_14-09-44.jpg,กระโจง
2025-10-14 14:09:46,without_mask_2025-10-14_14-09-46.jpg,กระโจง
2025-10-14 14:09:48,without_mask_2025-10-14_14-09-48.jpg,กระโจง
2025-10-14 14:09:50,without_mask_2025-10-14_14-09-50.jpg,กระโจง
2025-10-14 14:09:52,without_mask_2025-10-14_14-09-52.jpg,กระโจง
2025-10-14 14:09:54,without_mask_2025-10-14_14-09-54.jpg,กระโจง
2025-10-14 14:09:56,without_mask_2025-10-14_14-09-56.jpg,กระโจง
2025-10-14 14:09:58,without_mask_2025-10-14_14-09-58.jpg,กระโจง
2025-10-14 14:10:09,without_mask_2025-10-14_14-10-09.jpg,กระโจง
2025-10-14 14:10:11,without_mask_2025-10-14_14-10-11.jpg,กระโจง
2025-10-14 14:10:13,without_mask_2025-10-14_14-10-13.jpg,กระโจง
2025-10-14 14:10:15,without_mask_2025-10-14_14-10-15.jpg,กระโจง
2025-10-14 14:10:18,without_mask_2025-10-14_14-10-18.jpg,กระโจง
2025-10-14 14:10:22,without_mask_2025-10-14_14-10-22.jpg,กระโจง
2025-10-14 14:10:24,without_mask_2025-10-14_14-10-24.jpg,กระโจง
2025-10-14 14:10:26,without_mask_2025-10-14_14-10-26.jpg,กระโจง
2025-10-14 14:10:29,without_mask_2025-10-14_14-10-29.jpg,กระโจง
2025-10-14 14:10:31,without_mask_2025-10-14_14-10-31.jpg,กระโจง
2025-10-14 14:10:35,without_mask_2025-10-14_14-10-35.jpg,กระโจง
2025-10-14 14:10:37,without_mask_2025-10-14_14-10-37.jpg,กระโจง
2025-10-14 14:10:39,without_mask_2025-10-14_14-10-39.jpg,กระโจง
2025-10-14 14:10:41,without_mask_2025-10-14_14-10-41.jpg,กระโจง
2025-10-14 14:10:44,without_mask_2025-10-14_14-10-44.jpg,กระโจง
2025-10-14 14:10:46,without_mask_2025-10-14_14-10-46.jpg,กระโจง
2025-10-14 14:10:50,without_mask_2025-10-14_14-10-50.jpg,กระโจง
2025-10-14 14:10:58,without_mask_2025-10-14_14-10-58.jpg,กระโจง
2025-10-14 14:11:00,without_mask_2025-10-14_14-11-00.jpg,กระโจง
2025-10-14 23:28:24,without_mask_2025-10-14_23-28-24.jpg,Cafeteria
2025-10-14 23:28:26,without_mask_2025-10-14_23-28-26.jpg,Cafeteria
